id,unit,topic,topicTitle,stimulusType,stimulusText,stimulusImageUrl,stimulusImageAlt,stimulusSource,question,choiceA,choiceB,choiceC,choiceD,answer,explanation
1.3-ev1,1,1.3,1.3 Developments in South and Southeast Asia,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in South and Southeast Asia",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in South and Southeast Asia?",Delhi Sultanate governance,civil service examination system,ulama legal authority,Inca mita labor system,0,Turkic and Afghan rulers in Delhi adapted Islamic statecraft to South Asian contexts. This evidence aligns with institutional change in South and Southeast Asia.
1.3-ev2,1,1.3,1.3 Developments in South and Southeast Asia,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,"Based on the image, which process is most directly associated with the historical context shown?",Great Zimbabwe trade networks,Delhi Sultanate governance,manorial and feudal ties,state legitimacy through institutions,1,Turkic and Afghan rulers in Delhi adapted Islamic statecraft to South Asian contexts. The image context points most directly to this process.
1.3-ev3,1,1.3,1.3 Developments in South and Southeast Asia,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to South and Southeast Asia",,,,Which of the following was an important long-term effect of Delhi Sultanate governance?,caravanserai-supported Silk Road trade,Pax Mongolica connectivity,Delhi Sultanate governance,monsoon-based navigation,2,Turkic and Afghan rulers in Delhi adapted Islamic statecraft to South Asian contexts. This development had durable long-term consequences.
1.3-ev4,1,1.3,1.3 Developments in South and Southeast Asia,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,Delhi Sultanate governance,3,Turkic and Afghan rulers in Delhi adapted Islamic statecraft to South Asian contexts. Historians use visual evidence like this to support broader process arguments.
1.3-ev5,1,1.3,1.3 Developments in South and Southeast Asia,none,,,,,Which claim is best supported by historical evidence from 1.3 Developments in South and Southeast Asia?,Delhi Sultanate governance,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,Turkic and Afghan rulers in Delhi adapted Islamic statecraft to South Asian contexts. This is the most historically defensible claim supported by the evidence.
1.4-ev1,1,1.4,1.4 State Building in the Americas,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the Andes",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the Andes?",Inca mita labor system,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"The Inca state organized rotating labor obligations for roads, terraces, and administration. This evidence aligns with institutional change in the Andes."
1.4-ev2,1,1.4,1.4 State Building in the Americas,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,"Based on the image, which process is most directly associated with the historical context shown?",Great Zimbabwe trade networks,Inca mita labor system,manorial and feudal ties,state legitimacy through institutions,1,"The Inca state organized rotating labor obligations for roads, terraces, and administration. The image context points most directly to this process."
1.4-ev3,1,1.4,1.4 State Building in the Americas,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the Andes",,,,Which of the following was an important long-term effect of Inca mita labor system?,caravanserai-supported Silk Road trade,Pax Mongolica connectivity,Inca mita labor system,monsoon-based navigation,2,"The Inca state organized rotating labor obligations for roads, terraces, and administration. This development had durable long-term consequences."
1.4-ev4,1,1.4,1.4 State Building in the Americas,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,Inca mita labor system,3,"The Inca state organized rotating labor obligations for roads, terraces, and administration. Historians use visual evidence like this to support broader process arguments."
1.4-ev5,1,1.4,1.4 State Building in the Americas,none,,,,,Which claim is best supported by historical evidence from 1.4 State Building in the Americas?,Inca mita labor system,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,"The Inca state organized rotating labor obligations for roads, terraces, and administration. This is the most historically defensible claim supported by the evidence."
1.5-ev1,1,1.5,1.5 State Building in Africa,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in sub-Saharan Africa",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in sub-Saharan Africa?",Great Zimbabwe trade networks,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Control over gold and regional commerce strengthened elite authority in southeastern Africa. This evidence aligns with institutional change in sub-Saharan Africa.
1.5-ev2,1,1.5,1.5 State Building in Africa,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,Great Zimbabwe trade networks,manorial and feudal ties,state legitimacy through institutions,1,Control over gold and regional commerce strengthened elite authority in southeastern Africa. The image context points most directly to this process.
1.5-ev3,1,1.5,1.5 State Building in Africa,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to sub-Saharan Africa",,,,Which of the following was an important long-term effect of Great Zimbabwe trade networks?,caravanserai-supported Silk Road trade,Pax Mongolica connectivity,Great Zimbabwe trade networks,monsoon-based navigation,2,Control over gold and regional commerce strengthened elite authority in southeastern Africa. This development had durable long-term consequences.
1.5-ev4,1,1.5,1.5 State Building in Africa,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,Great Zimbabwe trade networks,3,Control over gold and regional commerce strengthened elite authority in southeastern Africa. Historians use visual evidence like this to support broader process arguments.
1.5-ev5,1,1.5,1.5 State Building in Africa,none,,,,,Which claim is best supported by historical evidence from 1.5 State Building in Africa?,Great Zimbabwe trade networks,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,Control over gold and regional commerce strengthened elite authority in southeastern Africa. This is the most historically defensible claim supported by the evidence.
1.6-ev1,1,1.6,1.6 Developments in Europe,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Europe",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Europe?",manorial and feudal ties,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"European political authority was fragmented among lords, monarchs, and church institutions. This evidence aligns with institutional change in Europe."
1.6-ev2,1,1.6,1.6 Developments in Europe,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,manorial and feudal ties,Great Zimbabwe trade networks,state legitimacy through institutions,1,"European political authority was fragmented among lords, monarchs, and church institutions. The image context points most directly to this process."
1.6-ev3,1,1.6,1.6 Developments in Europe,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to Europe",,,,Which of the following was an important long-term effect of manorial and feudal ties?,caravanserai-supported Silk Road trade,Pax Mongolica connectivity,manorial and feudal ties,monsoon-based navigation,2,"European political authority was fragmented among lords, monarchs, and church institutions. This development had durable long-term consequences."
1.6-ev4,1,1.6,1.6 Developments in Europe,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,manorial and feudal ties,3,"European political authority was fragmented among lords, monarchs, and church institutions. Historians use visual evidence like this to support broader process arguments."
1.6-ev5,1,1.6,1.6 Developments in Europe,none,,,,,Which claim is best supported by historical evidence from 1.6 Developments in Europe?,manorial and feudal ties,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,"European political authority was fragmented among lords, monarchs, and church institutions. This is the most historically defensible claim supported by the evidence."
1.7-ev1,1,1.7,1.7 Comparison in the Period,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Afro-Eurasia",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Afro-Eurasia?",state legitimacy through institutions,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Rulers legitimized power through bureaucracy, religion, and military structures. This evidence aligns with institutional change in Afro-Eurasia."
1.7-ev2,1,1.7,1.7 Comparison in the Period,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,state legitimacy through institutions,Great Zimbabwe trade networks,manorial and feudal ties,1,"Rulers legitimized power through bureaucracy, religion, and military structures. The image context points most directly to this process."
1.7-ev3,1,1.7,1.7 Comparison in the Period,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to Afro-Eurasia",,,,Which of the following was an important long-term effect of state legitimacy through institutions?,caravanserai-supported Silk Road trade,Pax Mongolica connectivity,state legitimacy through institutions,monsoon-based navigation,2,"Rulers legitimized power through bureaucracy, religion, and military structures. This development had durable long-term consequences."
1.7-ev4,1,1.7,1.7 Comparison in the Period,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,state legitimacy through institutions,3,"Rulers legitimized power through bureaucracy, religion, and military structures. Historians use visual evidence like this to support broader process arguments."
1.7-ev5,1,1.7,1.7 Comparison in the Period,none,,,,,Which claim is best supported by historical evidence from 1.7 Comparison in the Period?,state legitimacy through institutions,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,"Rulers legitimized power through bureaucracy, religion, and military structures. This is the most historically defensible claim supported by the evidence."
2.1-ev1,2,2.1,2.1 The Silk Roads,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the Silk Roads",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the Silk Roads?",caravanserai-supported Silk Road trade,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Roadside inns and state protection enabled safer overland exchange. This evidence aligns with institutional change in the Silk Roads.
2.1-ev2,2,2.1,2.1 The Silk Roads,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,caravanserai-supported Silk Road trade,Great Zimbabwe trade networks,manorial and feudal ties,1,Roadside inns and state protection enabled safer overland exchange. The image context points most directly to this process.
2.1-ev3,2,2.1,2.1 The Silk Roads,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the Silk Roads",,,,Which of the following was an important long-term effect of caravanserai-supported Silk Road trade?,state legitimacy through institutions,Pax Mongolica connectivity,caravanserai-supported Silk Road trade,monsoon-based navigation,2,Roadside inns and state protection enabled safer overland exchange. This development had durable long-term consequences.
2.1-ev4,2,2.1,2.1 The Silk Roads,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,caravanserai-supported Silk Road trade,3,Roadside inns and state protection enabled safer overland exchange. Historians use visual evidence like this to support broader process arguments.
2.1-ev5,2,2.1,2.1 The Silk Roads,none,,,,,Which claim is best supported by historical evidence from 2.1 The Silk Roads?,caravanserai-supported Silk Road trade,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,Roadside inns and state protection enabled safer overland exchange. This is the most historically defensible claim supported by the evidence.
2.2-ev1,2,2.2,2.2 The Mongol Empire and the Making of the Modern World,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Eurasia",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Eurasia?",Pax Mongolica connectivity,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Mongol imperial rule facilitated movement of merchants, envoys, and technologies. This evidence aligns with institutional change in Eurasia."
2.2-ev2,2,2.2,2.2 The Mongol Empire and the Making of the Modern World,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,Pax Mongolica connectivity,Great Zimbabwe trade networks,manorial and feudal ties,1,"Mongol imperial rule facilitated movement of merchants, envoys, and technologies. The image context points most directly to this process."
2.2-ev3,2,2.2,2.2 The Mongol Empire and the Making of the Modern World,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to Eurasia",,,,Which of the following was an important long-term effect of Pax Mongolica connectivity?,state legitimacy through institutions,caravanserai-supported Silk Road trade,Pax Mongolica connectivity,monsoon-based navigation,2,"Mongol imperial rule facilitated movement of merchants, envoys, and technologies. This development had durable long-term consequences."
2.2-ev4,2,2.2,2.2 The Mongol Empire and the Making of the Modern World,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,Pax Mongolica connectivity,3,"Mongol imperial rule facilitated movement of merchants, envoys, and technologies. Historians use visual evidence like this to support broader process arguments."
2.2-ev5,2,2.2,2.2 The Mongol Empire and the Making of the Modern World,none,,,,,Which claim is best supported by historical evidence from 2.2 The Mongol Empire and the Making of the Modern World?,Pax Mongolica connectivity,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,"Mongol imperial rule facilitated movement of merchants, envoys, and technologies. This is the most historically defensible claim supported by the evidence."
2.3-ev1,2,2.3,2.3 Exchange in the Indian Ocean,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the Indian Ocean",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the Indian Ocean?",monsoon-based navigation,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Sailors timed voyages to seasonal wind cycles linking East Africa, Arabia, India, and Southeast Asia. This evidence aligns with institutional change in the Indian Ocean."
2.3-ev2,2,2.3,2.3 Exchange in the Indian Ocean,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,monsoon-based navigation,Great Zimbabwe trade networks,manorial and feudal ties,1,"Sailors timed voyages to seasonal wind cycles linking East Africa, Arabia, India, and Southeast Asia. The image context points most directly to this process."
2.3-ev3,2,2.3,2.3 Exchange in the Indian Ocean,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the Indian Ocean",,,,Which of the following was an important long-term effect of monsoon-based navigation?,state legitimacy through institutions,caravanserai-supported Silk Road trade,monsoon-based navigation,Pax Mongolica connectivity,2,"Sailors timed voyages to seasonal wind cycles linking East Africa, Arabia, India, and Southeast Asia. This development had durable long-term consequences."
2.3-ev4,2,2.3,2.3 Exchange in the Indian Ocean,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,monsoon-based navigation,3,"Sailors timed voyages to seasonal wind cycles linking East Africa, Arabia, India, and Southeast Asia. Historians use visual evidence like this to support broader process arguments."
2.3-ev5,2,2.3,2.3 Exchange in the Indian Ocean,none,,,,,Which claim is best supported by historical evidence from 2.3 Exchange in the Indian Ocean?,monsoon-based navigation,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,"Sailors timed voyages to seasonal wind cycles linking East Africa, Arabia, India, and Southeast Asia. This is the most historically defensible claim supported by the evidence."
2.4-ev1,2,2.4,2.4 Trans-Saharan Trade Routes,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the Sahara and Sahel",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the Sahara and Sahel?",gold-salt exchange routes,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Trans-Saharan commerce linked West African production to Mediterranean markets. This evidence aligns with institutional change in the Sahara and Sahel.
2.4-ev2,2,2.4,2.4 Trans-Saharan Trade Routes,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,gold-salt exchange routes,Great Zimbabwe trade networks,manorial and feudal ties,1,Trans-Saharan commerce linked West African production to Mediterranean markets. The image context points most directly to this process.
2.4-ev3,2,2.4,2.4 Trans-Saharan Trade Routes,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the Sahara and Sahel",,,,Which of the following was an important long-term effect of gold-salt exchange routes?,state legitimacy through institutions,caravanserai-supported Silk Road trade,gold-salt exchange routes,Pax Mongolica connectivity,2,Trans-Saharan commerce linked West African production to Mediterranean markets. This development had durable long-term consequences.
2.4-ev4,2,2.4,2.4 Trans-Saharan Trade Routes,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,cross-cultural diffusion,Black Death transmission,gold-salt exchange routes,3,Trans-Saharan commerce linked West African production to Mediterranean markets. Historians use visual evidence like this to support broader process arguments.
2.4-ev5,2,2.4,2.4 Trans-Saharan Trade Routes,none,,,,,Which claim is best supported by historical evidence from 2.4 Trans-Saharan Trade Routes?,gold-salt exchange routes,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,Trans-Saharan commerce linked West African production to Mediterranean markets. This is the most historically defensible claim supported by the evidence.
2.5-ev1,2,2.5,2.5 Cultural Consequences of Connectivity,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in interregional exchange zones",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in interregional exchange zones?",cross-cultural diffusion,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Trade networks spread religions, crops, artistic forms, and technologies. This evidence aligns with institutional change in interregional exchange zones."
2.5-ev2,2,2.5,2.5 Cultural Consequences of Connectivity,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,cross-cultural diffusion,Great Zimbabwe trade networks,manorial and feudal ties,1,"Trade networks spread religions, crops, artistic forms, and technologies. The image context points most directly to this process."
2.5-ev3,2,2.5,2.5 Cultural Consequences of Connectivity,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to interregional exchange zones",,,,Which of the following was an important long-term effect of cross-cultural diffusion?,state legitimacy through institutions,caravanserai-supported Silk Road trade,cross-cultural diffusion,Pax Mongolica connectivity,2,"Trade networks spread religions, crops, artistic forms, and technologies. This development had durable long-term consequences."
2.5-ev4,2,2.5,2.5 Cultural Consequences of Connectivity,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,Black Death transmission,cross-cultural diffusion,3,"Trade networks spread religions, crops, artistic forms, and technologies. Historians use visual evidence like this to support broader process arguments."
2.5-ev5,2,2.5,2.5 Cultural Consequences of Connectivity,none,,,,,Which claim is best supported by historical evidence from 2.5 Cultural Consequences of Connectivity?,cross-cultural diffusion,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,"Trade networks spread religions, crops, artistic forms, and technologies. This is the most historically defensible claim supported by the evidence."
2.6-ev1,2,2.6,2.6 Environmental Consequences of Connectivity,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Afro-Eurasia",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Afro-Eurasia?",Black Death transmission,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Pathogens moved quickly along dense trade and military routes. This evidence aligns with institutional change in Afro-Eurasia.
2.6-ev2,2,2.6,2.6 Environmental Consequences of Connectivity,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Silk_Road_Trade_(c.1200_CE).jpg,Silk Road trade routes map,https://commons.wikimedia.org/wiki/File:Silk_Road_Trade_(c.1200_CE).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,Black Death transmission,Great Zimbabwe trade networks,manorial and feudal ties,1,Pathogens moved quickly along dense trade and military routes. The image context points most directly to this process.
